round,moody_avg_mood,moody_avg_score,moody_avg_connectivity,sarsa_avg_score,sarsa_avg_connectivity,tft_avg_score,tft_avg_connectivity,wsls_avg_score,wsls_avg_connectivity
0,0,0,0,0,0,0,0,0.0,0.0
100,0,0,0,0,0,0,0,0.0,0.0
200,0,0,0,0,0,0,0,0.0,0.0
300,0,0,0,0,0,0,0,0.0,0.0
400,0,0,0,0,0,0,0,0.0,0.0
500,0,0,0,0,0,0,0,0.0,0.0
600,0,0,0,0,0,0,0,0.0,0.0
700,0,0,0,0,0,0,0,0.0,0.0
800,0,0,0,0,0,0,0,0.0,0.0
900,0,0,0,0,0,0,0,0.0,0.0
1000,0,0,0,0,0,0,0,0.0,0.0
1100,0,0,0,0,0,0,0,0.0,0.0
1200,0,0,0,0,0,0,0,0.0,0.0
1300,0,0,0,0,0,0,0,0.0,0.0
1400,0,0,0,0,0,0,0,0.0,0.0
1500,0,0,0,0,0,0,0,0.0,0.0
1600,0,0,0,0,0,0,0,0.0,0.0
1700,0,0,0,0,0,0,0,0.0,0.0
1800,0,0,0,0,0,0,0,0.0,0.0
1900,0,0,0,0,0,0,0,0.0,0.0
2000,0,0,0,0,0,0,0,0.0,0.0
2100,0,0,0,0,0,0,0,0.0,0.0
2200,0,0,0,0,0,0,0,0.0,0.0
0,0,0,0,0,0,0,0,31.5,0.143
100,0,0,0,0,0,0,0,50.0,0.754
200,0,0,0,0,0,0,0,50.0,0.704
300,0,0,0,0,0,0,0,50.0,0.766
400,0,0,0,0,0,0,0,50.0,0.732
500,0,0,0,0,0,0,0,50.0,0.794
600,0,0,0,0,0,0,0,50.0,0.76
700,0,0,0,0,0,0,0,50.0,0.696
800,0,0,0,0,0,0,0,50.0,0.705
900,0,0,0,0,0,0,0,50.0,0.774
1000,0,0,0,0,0,0,0,50.0,0.767
1100,0,0,0,0,0,0,0,50.0,0.746
1200,0,0,0,0,0,0,0,50.0,0.744
1300,0,0,0,0,0,0,0,50.0,0.717
1400,0,0,0,0,0,0,0,50.0,0.777
1500,0,0,0,0,0,0,0,50.0,0.711
1600,0,0,0,0,0,0,0,50.0,0.746
1700,0,0,0,0,0,0,0,50.0,0.758
1800,0,0,0,0,0,0,0,50.0,0.734
1900,0,0,0,0,0,0,0,50.0,0.776
2000,0,0,0,0,0,0,0,50.0,0.737
2100,0,0,0,0,0,0,0,50.0,0.704
2200,0,0,0,0,0,0,0,50.0,0.764
2300,0,0,0,0,0,0,0,50.0,0.755
2400,0,0,0,0,0,0,0,50.0,0.754
2500,0,0,0,0,0,0,0,50.0,0.695
2600,0,0,0,0,0,0,0,50.0,0.802
2700,0,0,0,0,0,0,0,50.0,0.743
2800,0,0,0,0,0,0,0,50.0,0.796
0,58.0,4.0,0.25,0,0,0,0,33.333,0.15
100,100.0,3.623,1.0,0,0,0,0,50.0,0.785
200,99.0,3.621,1.25,0,0,0,0,50.0,0.762
300,100.0,3.614,1.125,0,0,0,0,50.0,0.781
400,100.0,3.603,1.125,0,0,0,0,50.0,0.749
500,100.0,3.6,1.0,0,0,0,0,50.0,0.788
600,100.0,3.605,1.0,0,0,0,0,50.0,0.784
700,100.0,3.613,1.25,0,0,0,0,50.0,0.747
800,100.0,3.617,1.0,0,0,0,0,50.0,0.663
900,100.0,3.626,0.75,0,0,0,0,50.0,0.718
1000,100.0,3.624,1.125,0,0,0,0,50.0,0.759
1100,99.0,3.629,1.0,0,0,0,0,50.0,0.768
1200,100.0,3.633,1.0,0,0,0,0,50.0,0.792
1300,100.0,3.635,1.0,0,0,0,0,50.0,0.704
1400,99.0,3.635,1.25,0,0,0,0,50.0,0.67
1500,99.0,3.632,1.25,0,0,0,0,50.0,0.706
1600,100.0,3.634,1.0,0,0,0,0,50.0,0.756
1700,100.0,3.634,1.0,0,0,0,0,50.0,0.73
1800,100.0,3.635,1.0,0,0,0,0,50.0,0.735
1900,100.0,3.63,1.375,0,0,0,0,50.0,0.749
2000,100.0,3.627,1.125,0,0,0,0,50.0,0.689
2100,100.0,3.624,1.5,0,0,0,0,50.0,0.722
2200,98.0,3.626,1.0,0,0,0,0,50.0,0.773
2300,100.0,3.627,0.875,0,0,0,0,50.0,0.721
2400,100.0,3.627,1.125,0,0,0,0,50.0,0.762
2500,100.0,3.628,1.0,0,0,0,0,50.0,0.714
2600,100.0,3.626,1.25,0,0,0,0,50.0,0.791
2700,100.0,3.627,1.375,0,0,0,0,50.0,0.826
2800,100.0,3.627,1.25,0,0,0,0,50.0,0.78
2900,99.0,3.627,1.125,0,0,0,0,50.0,0.77
3000,100.0,3.624,0.875,0,0,0,0,50.0,0.728
0,0,0,0,0,0,0.0,0.0,32.323,0.147
100,0,0,0,0,0,50.0,0.667,50.0,0.737
200,0,0,0,0,0,50.0,1.0,50.0,0.779
300,0,0,0,0,0,50.0,1.0,50.0,0.72
400,0,0,0,0,0,50.0,0.333,50.0,0.702
500,0,0,0,0,0,50.0,1.0,50.0,0.776
600,0,0,0,0,0,50.0,0.667,50.0,0.76
700,0,0,0,0,0,50.0,0.333,50.0,0.747
800,0,0,0,0,0,50.0,0.333,50.0,0.765
900,0,0,0,0,0,50.0,0.0,50.0,0.76
1000,0,0,0,0,0,50.0,1.333,50.0,0.716
1100,0,0,0,0,0,50.0,0.333,50.0,0.748
1200,0,0,0,0,0,50.0,1.0,50.0,0.794
1300,0,0,0,0,0,50.0,1.0,50.0,0.712
1400,0,0,0,0,0,50.0,1.0,50.0,0.721
1500,0,0,0,0,0,50.0,0.667,50.0,0.741
1600,0,0,0,0,0,50.0,1.333,50.0,0.753
1700,0,0,0,0,0,50.0,1.333,50.0,0.79
1800,0,0,0,0,0,50.0,1.0,50.0,0.698
1900,0,0,0,0,0,50.0,1.0,50.0,0.761
2000,0,0,0,0,0,50.0,1.0,50.0,0.792
2100,0,0,0,0,0,50.0,1.0,50.0,0.722
2200,0,0,0,0,0,50.0,0.333,50.0,0.739
2300,0,0,0,0,0,50.0,1.333,50.0,0.708
2400,0,0,0,0,0,50.0,0.333,50.0,0.738
2500,0,0,0,0,0,50.0,1.333,50.0,0.742
2600,0,0,0,0,0,50.0,0.667,50.0,0.689
2700,0,0,0,0,0,50.0,0.667,50.0,0.706
2800,0,0,0,0,0,50.0,1.333,50.0,0.712
2900,0,0,0,0,0,50.0,0.667,50.0,0.756
3000,0,0,0,0,0,50.0,0.333,50.0,0.71
3100,0,0,0,0,0,50.0,1.333,50.0,0.752
3200,0,0,0,0,0,50.0,0.333,50.0,0.771
3300,0,0,0,0,0,50.0,1.333,50.0,0.737
3400,0,0,0,0,0,50.0,0.667,50.0,0.756
3500,0,0,0,0,0,50.0,0.667,50.0,0.743
3600,0,0,0,0,0,50.0,1.0,50.0,0.777
3700,0,0,0,0,0,50.0,0.667,50.0,0.707
3800,0,0,0,0,0,50.0,0.667,50.0,0.754
3900,0,0,0,0,0,50.0,1.0,50.0,0.7
4000,0,0,0,0,0,50.0,1.333,50.0,0.677
4100,0,0,0,0,0,50.0,0.667,50.0,0.777
4200,0,0,0,0,0,50.0,0.667,50.0,0.716
4300,0,0,0,0,0,50.0,1.333,50.0,0.727
4400,0,0,0,0,0,50.0,1.0,50.0,0.694
4500,0,0,0,0,0,50.0,0.667,50.0,0.708
4600,0,0,0,0,0,50.0,1.0,50.0,0.701
4700,0,0,0,0,0,50.0,1.0,50.0,0.73
4800,0,0,0,0,0,50.0,1.0,50.0,0.753
4900,0,0,0,0,0,50.0,1.0,50.0,0.705
5000,0,0,0,0,0,50.0,1.667,50.0,0.672
5100,0,0,0,0,0,50.0,0.667,50.0,0.751
5200,0,0,0,0,0,50.0,1.0,50.0,0.748
5300,0,0,0,0,0,50.0,1.0,50.0,0.753
5400,0,0,0,0,0,50.0,1.0,50.0,0.707
